RTM Template,,,,,,,,,,,,,,,
Project Name,Expense Tracker Application,,,,Creation Date,2025-08-30,,,,,,,,,,
Project ID,EXP-TRK-2025-001,,,,Last Update Date,2025-11-01,,,,,,,,,,
Project Manager,[Team Lead Name],,,,Reviewd by,[Stakeholder Name],,,,,,,,,
,,,,,Review Date,2025-11-01,,,,,,,,,,
,,,,,,,,,,,,,,,
RID,Use Case,Description,Business Need Justification,TCID,TC Description,Test Design,Test Designer,[Test Analyst Name],UAT Test Request,Test Execution,,,Defect,Defect ID,Defect Status,Requiremnt Coverage Status
,,,,,,,,,Test Env.,UAT Env.,Product Env.,,,,
R001,User Registration,User should be able to create a new account with name email and password,Enable secure access to personal expense data,TC_AUTH_001,Verify user can register with valid data,Positive Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,,,,,Covered
R001,User Registration,User should be able to create a new account with name email and password,Enable secure access to personal expense data,TC_AUTH_002,Verify registration fails with duplicate email,Negative Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,DEF001,Closed,Covered
R001,User Registration,User should be able to create a new account with name email and password,Enable secure access to personal expense data,TC_AUTH_003,Verify password minimum length validation,Negative Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,,,,,Covered
R002,User Login,User should be able to login with valid email and password,Secure access to user account and data,TC_AUTH_004,Verify successful login with valid credentials,Positive Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,,,,,Covered
R002,User Login,User should be able to login with valid email and password,Secure access to user account and data,TC_AUTH_005,Verify login fails with invalid email,Negative Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,,,,,Covered
R002,User Login,User should be able to login with valid email and password,Secure access to user account and data,TC_AUTH_006,Verify login fails with invalid password,Negative Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,,,,,Covered
R003,User Logout,User should be able to logout from the application,Ensure secure session termination,TC_AUTH_007,Verify successful logout and redirect to login,Positive Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,,,,,Covered
R003,User Logout,User should be able to logout from the application,Ensure secure session termination,TC_AUTH_008,Verify session data cleared after logout,Positive Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,,,,,Covered
R004,Session Management,Unauthenticated users should be redirected to login,Protect user data from unauthorized access,TC_AUTH_009,Verify redirect when accessing index without login,Positive Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,,,,,Covered
R004,Session Management,Unauthenticated users should be redirected to login,Protect user data from unauthorized access,TC_AUTH_010,Verify session persists on page refresh,Positive Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,,,,,Covered
R005,Add Expense,User should be able to add new expense with category amount and date,Core functionality for expense tracking,TC_EXP_001,Verify expense added with valid data,Positive Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,,,,,Covered
R005,Add Expense,User should be able to add new expense with category amount and date,Core functionality for expense tracking,TC_EXP_002,Verify expense validation for empty category,Negative Test,[Test Analyst 1],[Test Analyst 1],Approved,Fail,DEF002,Open,Covered
R005,Add Expense,User should be able to add new expense with category amount and date,Core functionality for expense tracking,TC_EXP_003,Verify expense validation for invalid amount,Negative Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,,,,,Covered
R005,Add Expense,User should be able to add new expense with category amount and date,Core functionality for expense tracking,TC_EXP_004,Verify expense validation for missing date,Negative Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,,,,,Covered
R006,View Expenses,User should be able to view all expenses in a table,Provide visibility into spending history,TC_EXP_005,Verify all expenses displayed in table,Positive Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,,,,,Covered
R006,View Expenses,User should be able to view all expenses in a table,Provide visibility into spending history,TC_EXP_006,Verify expenses sorted by date descending,Positive Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,,,,,Covered
R006,View Expenses,User should be able to view all expenses in a table,Provide visibility into spending history,TC_EXP_007,Verify user sees only their own expenses,Positive Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,,,,,Covered
R007,Edit Expense,User should be able to edit existing expense details,Allow correction of expense entries,TC_EXP_008,Verify expense edited successfully,Positive Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,,,,,Covered
R007,Edit Expense,User should be able to edit existing expense details,Allow correction of expense entries,TC_EXP_009,Verify edit validation for invalid data,Negative Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,,,,,Covered
R008,Delete Expense,User should be able to delete an expense,Allow removal of incorrect entries,TC_EXP_010,Verify expense deleted successfully,Positive Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,,,,,Covered
R008,Delete Expense,User should be able to delete an expense,Allow removal of incorrect entries,TC_EXP_011,Verify confirmation before deletion,Positive Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,DEF003,Open,Covered
R009,Monthly Summary,User should be able to view monthly expense total,Provide financial overview by month,TC_ANAL_001,Verify correct monthly total calculation,Positive Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,,,,,Covered
R009,Monthly Summary,User should be able to view monthly expense total,Provide financial overview by month,TC_ANAL_002,Verify month picker updates summary,Positive Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,,,,,Covered
R010,Category Filter,User should be able to filter expenses by category,Enable category-wise expense analysis,TC_ANAL_003,Verify filter shows expenses for selected category,Positive Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,,,,,Covered
R010,Category Filter,User should be able to filter expenses by category,Enable category-wise expense analysis,TC_ANAL_004,Verify filter resets to all categories,Positive Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,,,,,Covered
R011,Category Breakdown,User should see category-wise expense totals,Provide spending insights by category,TC_ANAL_005,Verify category totals displayed correctly,Positive Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,,,,,Covered
R012,Export CSV,User should be able to export expenses to CSV file,Enable data portability and analysis,TC_EXP_012,Verify CSV export functionality,Positive Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,,,,,Covered
R012,Export CSV,User should be able to export expenses to CSV file,Enable data portability and analysis,TC_EXP_013,Verify exported CSV contains all expenses,Positive Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,,,,,Covered
R013,Clear All Expenses,User should be able to clear all expenses,Allow data reset functionality,TC_EXP_014,Verify all expenses cleared with confirmation,Positive Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,DEF004,Open,Covered
R014,Responsive Design,Application should work on mobile devices,Enable access from any device,TC_UI_001,Verify layout adapts to mobile screen,Positive Test,[Test Analyst 2],[Test Analyst 2],Approved,Pass,,,,,Covered
R014,Responsive Design,Application should work on mobile devices,Enable access from any device,TC_UI_002,Verify form inputs usable on mobile,Positive Test,[Test Analyst 2],[Test Analyst 2],Approved,Pass,,,,,Covered
R015,Cross-Browser Compatibility,Application should work in Chrome Firefox Safari Edge,Ensure universal accessibility,TC_UI_003,Verify functionality in Chrome browser,Positive Test,[Test Analyst 2],[Test Analyst 2],Approved,Pass,,,,,Covered
R015,Cross-Browser Compatibility,Application should work in Chrome Firefox Safari Edge,Ensure universal accessibility,TC_UI_004,Verify functionality in Firefox browser,Positive Test,[Test Analyst 2],[Test Analyst 2],Approved,Pass,,,,,Covered
R015,Cross-Browser Compatibility,Application should work in Chrome Firefox Safari Edge,Ensure universal accessibility,TC_UI_005,Verify functionality in Safari browser,Positive Test,[Test Analyst 2],[Test Analyst 2],Approved,Pass,,,,,Covered
R016,Data Persistence,Expenses should persist after page refresh,Ensure data is not lost,TC_DATA_001,Verify expenses persist in localStorage,Positive Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,,,,,Covered
R016,Data Persistence,Expenses should persist after page refresh,Ensure data is not lost,TC_DATA_002,Verify user data persists after logout and login,Positive Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,,,,,Covered
R017,Error Handling,Application should display appropriate error messages,Improve user experience with clear feedback,TC_ERR_001,Verify error message for invalid login,Positive Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,,,,,Covered
R017,Error Handling,Application should display appropriate error messages,Improve user experience with clear feedback,TC_ERR_002,Verify error message for invalid expense data,Positive Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,,,,,Covered
R018,Form Validation,Forms should validate input before submission,Prevent invalid data entry,TC_VAL_001,Verify real-time validation feedback,Positive Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,,,,,Covered
R018,Form Validation,Forms should validate input before submission,Prevent invalid data entry,TC_VAL_002,Verify validation prevents form submission,Positive Test,[Test Analyst 1],[Test Analyst 1],Approved,Pass,,,,,Covered
R019,UI Design,Application should have modern glassmorphism design,Enhance user experience with attractive UI,TC_UI_006,Verify glassmorphism effects visible,Positive Test,[Test Analyst 2],[Test Analyst 2],Approved,Pass,,,,,Covered
R019,UI Design,Application should have modern glassmorphism design,Enhance user experience with attractive UI,TC_UI_007,Verify background animation displays,Positive Test,[Test Analyst 2],[Test Analyst 2],Approved,Pass,,,,,Covered
R020,Toast Notifications,Application should show toast notifications for actions,Provide immediate user feedback,TC_UI_008,Verify toast appears on expense add,Positive Test,[Test Analyst 2],[Test Analyst 2],Approved,Pass,,,,,Covered
R020,Toast Notifications,Application should show toast notifications for actions,Provide immediate user feedback,TC_UI_009,Verify toast auto-dismisses after timeout,Positive Test,[Test Analyst 2],[Test Analyst 2],Approved,Pass,,,,,Covered

